#{"t_start": 1767722872.3018024, "env_id": "CustomCartPole-v0"}
r,l,t
9.0,9,0.042645
26.0,26,0.064887
6.0,6,0.068263
40.0,40,0.09789
21.0,21,0.114611
18.0,18,0.126954
18.0,18,0.137711
49.0,49,0.170083
22.0,22,0.186066
27.0,27,0.208865
23.0,23,0.230434
14.0,14,0.238416
19.0,19,0.252208
15.0,15,0.261379
11.0,11,0.26788
14.0,14,0.276316
34.0,34,0.299292
9.0,9,0.304116
12.0,12,0.312316
23.0,23,0.32398
16.0,16,0.333659
17.0,17,0.344308
21.0,21,0.354924
17.0,17,0.365908
21.0,21,0.380309
8.0,8,0.38655
20.0,20,0.400776
16.0,16,0.411045
27.0,27,0.426113
34.0,34,0.447333
42.0,42,0.471937
11.0,11,0.479999
67.0,67,0.524687
54.0,54,0.568381
20.0,20,0.582799
14.0,14,0.595711
35.0,35,0.623616
14.0,14,0.631948
19.0,19,0.646283
42.0,42,0.67376
11.0,11,0.680268
11.0,11,0.687129
11.0,11,0.693819
16.0,16,0.703495
36.0,36,0.724637
15.0,15,0.734205
18.0,18,0.746951
7.0,7,0.75259
28.0,28,0.777144
12.0,12,0.785414
30.0,30,0.807047
24.0,24,0.827698
15.0,15,0.83552
20.0,20,0.851673
14.0,14,0.86336
14.0,14,0.876417
38.0,38,0.909929
17.0,17,0.921364
20.0,20,0.936236
35.0,35,0.970039
60.0,60,1.01719
6.0,6,1.021962
12.0,12,1.032873
22.0,22,1.050244
41.0,41,1.087729
24.0,24,1.103492
9.0,9,1.113913
25.0,25,1.134307
14.0,14,1.145642
41.0,41,1.172358
16.0,16,1.182067
27.0,27,1.198502
10.0,10,1.204382
19.0,19,1.219874
45.0,45,1.254978
23.0,23,1.2707
6.0,6,1.275827
26.0,26,1.296165
7.0,7,1.300689
78.0,78,1.350226
72.0,72,1.394786
12.0,12,1.403384
35.0,35,1.424479
12.0,12,1.431117
12.0,12,1.436869
32.0,32,1.462888
19.0,19,1.476377
15.0,15,1.486366
42.0,42,6.244808
59.0,59,6.278711
60.0,60,6.31547
27.0,27,6.332005
15.0,15,6.341061
40.0,40,6.367195
17.0,17,6.379677
12.0,12,6.386772
12.0,12,6.395845
42.0,42,6.420792
27.0,27,6.439926
10.0,10,6.446876
28.0,28,6.466396
23.0,23,6.483214
13.0,13,6.491355
44.0,44,6.515494
33.0,33,6.53689
46.0,46,6.566266
26.0,26,6.586634
42.0,42,6.612585
28.0,28,6.629847
29.0,29,6.647221
22.0,22,6.662077
16.0,16,6.670201
23.0,23,6.684371
31.0,31,6.708471
15.0,15,6.716941
36.0,36,6.738917
17.0,17,6.748198
11.0,11,6.75487
10.0,10,6.763058
15.0,15,6.77586
56.0,56,6.811873
37.0,37,6.832671
99.0,99,6.891175
17.0,17,6.90244
63.0,63,6.943485
47.0,47,6.971471
60.0,60,7.015651
16.0,16,7.027112
15.0,15,7.034762
19.0,19,7.046677
23.0,23,7.06258
27.0,27,7.0778
10.0,10,7.083811
51.0,51,7.120872
17.0,17,7.134463
17.0,17,7.147281
25.0,25,7.162719
73.0,73,7.212404
40.0,40,7.243047
8.0,8,7.248728
12.0,12,7.255722
41.0,41,7.283774
23.0,23,7.30018
50.0,50,7.334332
67.0,67,7.379383
75.0,75,7.429925
50.0,50,7.463892
27.0,27,7.485115
25.0,25,7.502125
48.0,48,7.533677
101.0,101,12.367432
54.0,54,12.409877
29.0,29,12.435073
48.0,48,12.474202
144.0,144,12.584416
80.0,80,12.646944
65.0,65,12.696863
58.0,58,12.743087
78.0,78,12.804798
82.0,82,12.866356
8.0,8,12.873414
17.0,17,12.888825
144.0,144,12.999777
37.0,37,13.033551
90.0,90,13.10628
13.0,13,13.115428
93.0,93,13.181486
19.0,19,13.193098
11.0,11,13.199434
82.0,82,13.25756
48.0,48,13.289818
94.0,94,13.367283
93.0,93,13.44429
40.0,40,13.479971
72.0,72,13.541263
48.0,48,13.591643
18.0,18,13.609113
90.0,90,13.686201
75.0,75,13.746976
48.0,48,13.783342
19.0,19,13.800328
29.0,29,13.822742
74.0,74,13.880473
57.0,57,13.915987
55.0,55,18.84482
123.0,123,18.931473
191.0,191,19.124598
46.0,46,19.16566
86.0,86,19.245382
165.0,165,19.374263
28.0,28,19.397249
152.0,152,19.519801
35.0,35,19.547359
186.0,186,19.69933
89.0,89,19.768449
118.0,118,19.865172
236.0,236,20.038775
187.0,187,20.191893
104.0,104,20.273353
148.0,148,20.389446
123.0,123,20.487258
115.0,115,25.979332
189.0,189,26.137078
175.0,175,26.27078
66.0,66,26.312044
200.0,200,26.442263
381.0,381,26.691686
179.0,179,26.80134
140.0,140,26.884383
269.0,269,27.052955
280.0,280,27.224626
443.0,443,32.341492
327.0,327,32.670576
378.0,378,33.003721
330.0,330,33.261544
216.0,216,33.414032
183.0,183,33.559516
311.0,311,39.790013
473.0,473,40.195795
376.0,376,40.557903
325.0,325,40.823459
440.0,440,41.249048
312.0,312,41.578056
